Atomosphere of build,Same Layer Scanned?,Build Direction [degrees],Power [W],Velocity [m/s],Hatch Spacing [μm],Beam Diameter [μm],d90 [um],Nucleants,Powder Shape [0-1],Powder Layer Thickness [μm],Atomization Atomosphere,Powder Recycled How Many Times?,Initial Powder Bed Temperature [K],Substrate/Platform Temperature [K],Printability Evaluation,Surface Energy Density [J/mm2],Linear Energy Density [J/mm],Volume Energy Density [J/mm3]
Argon,1,90,200.0,0.75,125.0,80.0,150.0,0,1,47.76099206349207,Gas,0.0,298.0,298.0,Fail,2133.3333333333335,266.6666666666667,44666.85554808708
Argon,1,90,200.0,0.75,85.0,80.0,150.0,0,1,56.97460317460318,Gas,0.0,298.0,298.0,Fail,3137.254901960784,266.6666666666667,55064.09394983267
Argon,1,90,200.0,0.3,100.0,50.0,150.0,0,1,50.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,666.6666666666667,133333.33333333334
Argon,1,90,200.0,0.3,100.0,50.0,150.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,666.6666666666667,333333.3333333334
Argon,1,90,800.0,0.01333,2600.0,4000.0,150.0,0,1,250.0,Gas,0.0,298.0,298.0,Fail,23082.693750360668,60015.003750937736,92330.77500144267
Argon,1,90,800.0,0.013333,2600.0,4000.0,150.0,0,1,250.0,Gas,0.0,298.0,298.0,Fail,23077.50001442344,60001.50003750094,92310.00005769376
Argon,1,45,100.0,0.7,50.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,2857.142857142857,142.85714285714286,142857.14285714287
Argon,1,90,100.0,0.7,50.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,2857.142857142857,142.85714285714286,142857.14285714287
Argon,1,45,100.0,0.7,70.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,2040.816326530612,142.85714285714286,102040.81632653062
Argon,1,90,100.0,0.7,70.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,2040.816326530612,142.85714285714286,102040.81632653062
Argon,1,45,150.0,0.7,50.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,4285.714285714285,214.2857142857143,214285.7142857143
Argon,1,90,150.0,0.7,50.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,4285.714285714285,214.2857142857143,214285.7142857143
Argon,1,45,150.0,0.7,70.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,3061.224489795918,214.2857142857143,153061.22448979592
Argon,1,90,150.0,0.7,70.0,50.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Fail,3061.224489795918,214.2857142857143,153061.22448979592
Argon,1,90,400.0,7.9,100.0,50.0,45.0,0,1,80.0,Gas,0.0,298.0,298.0,Fail,506.3291139240506,50.63291139240506,6329.113924050634
Argon,1,90,400.0,7.9,100.0,50.0,50.0,0,1,80.0,Gas,0.0,298.0,298.0,Fail,506.3291139240506,50.63291139240506,6329.113924050634
Argon,1,90,250.0,1.25,120.0,80.0,55.0,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666667,200.0,55555.55555555556
Argon,1,90,35.5,0.307,66.0,100.0,54.342708333333334,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1752.0481689862795,115.63517915309447,58401.60563287599
Argon,1,90,50.0,0.45,120.0,100.0,53.68541666666667,0,1,30.0,Argon,0.0,298.0,298.0,Fail,925.925925925926,111.11111111111111,30864.1975308642
Argon,1,90,50.0,0.08,35.0,100.0,53.028125,0,1,30.0,Argon,0.0,298.0,298.0,Success,17857.142857142855,625.0,595238.0952380951
Argon,1,90,35.0,0.45,35.0,100.0,52.37083333333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2222.222222222222,77.77777777777777,74074.07407407407
Argon,1,90,35.0,0.08,120.0,100.0,51.713541666666664,0,1,30.0,Argon,0.0,298.0,298.0,Fail,3645.8333333333335,437.5,121527.77777777778
Argon,1,90,50.0,0.45,35.0,100.0,51.05625,0,1,30.0,Argon,0.0,298.0,298.0,Fail,3174.6031746031745,111.11111111111111,105820.10582010582
Argon,1,90,35.0,0.45,120.0,100.0,50.39895833333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,648.1481481481482,77.77777777777777,21604.93827160494
Argon,1,90,50.0,0.08,120.0,100.0,49.74166666666667,0,1,30.0,Argon,0.0,298.0,298.0,Success,5208.333333333334,625.0,173611.1111111111
Argon,1,90,49.5,0.279,85.0,100.0,49.084375,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2087.2865275142312,177.41935483870967,69576.21758380772
Argon,1,90,45.5,0.27,119.0,100.0,48.427083333333336,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1416.1220043572982,168.5185185185185,47204.06681190994
Argon,1,90,47.5,0.122,81.0,100.0,47.76979166666666,0,1,30.0,Argon,0.0,298.0,298.0,Fail,4806.719287593604,389.344262295082,160223.97625312017
Argon,1,90,48.0,0.288,113.0,100.0,47.1125,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1474.9262536873157,166.66666666666669,49164.20845624386
Argon,1,90,48.5,0.353,79.0,100.0,46.45520833333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1739.1616165238283,137.39376770538243,57972.05388412762
Argon,1,90,43.5,0.427,49.0,100.0,45.797916666666666,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2079.0517612197104,101.87353629976582,69301.72537399035
Argon,1,90,43.0,0.177,117.0,100.0,45.140625,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2076.3919069003814,242.93785310734464,69213.06356334606
Argon,1,90,38.0,0.205,62.0,100.0,44.483333333333334,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2989.771833202203,185.3658536585366,99659.06110674012
Argon,1,90,41.0,0.196,83.0,100.0,43.82604166666667,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2520.285222522744,209.18367346938774,84009.5074174248
Argon,1,90,42.5,0.223,98.0,100.0,43.16875,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1944.7240779719962,190.5829596412556,64824.13593239987
Argon,1,90,36.5,0.149,91.0,100.0,42.51145833333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2691.9389335496717,244.96644295302013,89731.29778498906
Argon,1,90,41.0,0.085,40.0,100.0,41.854166666666664,0,1,30.0,Argon,0.0,298.0,298.0,Success,12058.823529411764,482.35294117647055,401960.7843137254
Argon,1,90,44.0,0.418,106.0,100.0,41.196875,0,1,30.0,Argon,0.0,298.0,298.0,Fail,993.0486593843099,105.26315789473685,33101.62197947699
Argon,1,90,35.0,0.297,76.0,100.0,40.53958333333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1550.593655856814,117.84511784511785,51686.455195227136
Argon,1,90,39.0,0.9,64.0,100.0,39.88229166666667,0,1,30.0,Argon,0.0,298.0,298.0,Fail,677.0833333333333,43.333333333333336,22569.444444444445
Argon,1,90,42.0,0.436,57.0,100.0,39.224999999999994,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1690.0048285852245,96.3302752293578,56333.49428617415
Argon,1,90,39.5,0.334,102.0,100.0,38.56770833333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1159.445814253845,118.26347305389221,38648.1938084615
Argon,1,90,44.0,0.131,89.0,100.0,37.91041666666666,0,1,30.0,Argon,0.0,298.0,298.0,Fail,3773.9085684878632,335.87786259541986,125796.95228292877
Argon,1,90,40.0,0.445,93.0,100.0,37.253125,0,1,30.0,Argon,0.0,298.0,298.0,Fail,966.5337682735291,89.8876404494382,32217.792275784304
Argon,1,90,36.5,0.316,42.0,100.0,36.59583333333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2750.150693188668,115.50632911392405,91671.6897729556
Argon,1,90,48.5,0.381,59.0,100.0,35.938541666666666,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2157.5692868899864,127.29658792650919,71918.97622966621
Argon,1,90,44.5,0.251,72.0,100.0,35.28125,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2462.372731297034,177.29083665338646,82079.09104323447
Argon,1,90,45.0,0.325,53.0,100.0,34.623958333333334,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2612.4818577648766,138.46153846153845,87082.72859216256
Argon,1,90,45.5,0.094,68.0,100.0,33.96666666666667,0,1,30.0,Argon,0.0,298.0,298.0,Success,7118.272841051314,484.04255319148933,237275.7613683771
Argon,1,90,46.0,0.399,51.0,100.0,33.309375,0,1,30.0,Argon,0.0,298.0,298.0,Fail,2260.5533441446755,115.28822055137844,75351.77813815585
Argon,1,90,47.0,0.362,104.0,100.0,32.65208333333333,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1248.4062898427542,129.8342541436464,41613.54299475847
Argon,1,90,41.5,0.103,55.0,100.0,31.994791666666664,0,1,30.0,Argon,0.0,298.0,298.0,Fail,7325.684024713151,402.91262135922335,244189.4674904384
Argon,1,90,36.0,0.371,96.0,100.0,31.3375,0,1,30.0,Argon,0.0,298.0,298.0,Fail,1010.7816711590295,97.03504043126685,33692.722371967655
